external_id,name,slug,parent_external_id,has_shipping,has_brand,metadata
16,Literatura,literatura,,1,1,"{""id"":16,""name"":""Literatura"",""name_singular"":""Literatura"",""slug"":""literatura"",""parent_id"":null,""order"":30,""desktop_order"":30,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":2,""icon"":""books"",""show_stories"":false}"
69,Umjetnost,umjetnost,,1,1,"{""id"":69,""name"":""Umjetnost"",""name_singular"":""Umjetnost"",""slug"":""umjetnost"",""parent_id"":null,""order"":32,""desktop_order"":32,""top_category"":true,""highlighted"":true,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":""camera"",""show_stories"":false}"
435,Kolekcionarstvo,kolekcionarstvo,,1,1,"{""id"":435,""name"":""Kolekcionarstvo"",""name_singular"":""Kolekcionarstvo"",""slug"":""kolekcionarstvo"",""parent_id"":null,""order"":34,""desktop_order"":34,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":4,""icon"":""Kolekcionarstvo"",""show_stories"":false}"
455,Antikviteti,antikviteti,,1,1,"{""id"":455,""name"":""Antikviteti"",""name_singular"":""Antikviteti"",""slug"":""antikviteti"",""parent_id"":null,""order"":36,""desktop_order"":36,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":4,""icon"":""Antikviteti"",""show_stories"":false}"
179,Karte - Tickets,karte-tickets,,1,1,"{""id"":179,""name"":""Karte - Tickets"",""name_singular"":""Karte - Tickets"",""slug"":""karte-tickets"",""parent_id"":null,""order"":38,""desktop_order"":38,""top_category"":true,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
328,Sve ostalo,sve-ostalo,,0,1,"{""id"":328,""name"":""Sve ostalo"",""name_singular"":""Sve ostalo"",""slug"":""sve-ostalo"",""parent_id"":null,""order"":40,""desktop_order"":40,""top_category"":true,""highlighted"":false,""shipping_available"":false,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":0,""icon"":null,""show_stories"":false}"
1453,Sijalice za automobile,,929,0,0,
1446,Akumulatori za automobile,,929,0,0,
1463,Unutrašnji izgled za automobile,,929,0,0,
1695,Ulje i maziva za motocikle,ulje-i-maziva-za-motocikle,930,1,1,"{""id"":1695,""name"":""Ulje i maziva za motocikle"",""name_singular"":""Ulje i maziva za motocikle"",""slug"":""ulje-i-maziva-za-motocikle"",""parent_id"":930,""order"":132,""desktop_order"":0,""top_category"":false,""highlighted"":false,""shipping_available"":true,""sensitive_content"":false,""post_option"":null,""show_price"":true,""show_brand"":true,""brand_required"":false,""model_required"":false,""has_models"":false,""show_condition"":true,""show_map"":false,""listing_fee"":0,""booking_enabled"":false,""base_listing_price"":5,""sub_categories"":[],""icon"":null,""show_stories"":false}"
